Core: hps_sdram_p0 - Instance: u_soc_system|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.941,0.915
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.774,--
"Core (Slow 1100mV 85C Model)",2.563,0.143
"Core Recovery/Removal (Slow 1100mV 85C Model)",5.041,0.47
"DQS vs CK (Slow 1100mV 85C Model)",0.662,0.528
"Postamble (Slow 1100mV 85C Model)",0.798,0.798
"Read Capture (Slow 1100mV 85C Model)",0.372,0.324
"Write (Slow 1100mV 85C Model)",0.401,0.401
"Address Command (Slow 1100mV 0C Model)",0.933,0.909
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.801,--
"Core (Slow 1100mV 0C Model)",2.56,0.162
"Core Recovery/Removal (Slow 1100mV 0C Model)",5.134,0.46
"DQS vs CK (Slow 1100mV 0C Model)",0.668,0.567
"Postamble (Slow 1100mV 0C Model)",0.784,0.784
"Read Capture (Slow 1100mV 0C Model)",0.388,0.341
"Write (Slow 1100mV 0C Model)",0.413,0.413
"Address Command (Fast 1100mV 85C Model)",0.982,0.953
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.91,--
"Core (Fast 1100mV 85C Model)",2.943,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.393,0.497
"DQS vs CK (Fast 1100mV 85C Model)",0.725,0.664
"Postamble (Fast 1100mV 85C Model)",0.9,0.9
"Read Capture (Fast 1100mV 85C Model)",0.508,0.461
"Write (Fast 1100mV 85C Model)",0.47,0.47
"Address Command (Fast 1100mV 0C Model)",0.961,0.978
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.923,--
"Core (Fast 1100mV 0C Model)",2.943,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.491,0.473
"DQS vs CK (Fast 1100mV 0C Model)",0.722,0.692
"Postamble (Fast 1100mV 0C Model)",0.905,0.905
"Read Capture (Fast 1100mV 0C Model)",0.509,0.462
"Write (Fast 1100mV 0C Model)",0.484,0.484
